CGI_ECGI_NCGI;eNB_gNB;CI
268-06-396585;1549;41
268-06-396586;1549;42
268-06-396587;1549;43
268-06-1582091;6180;11
268-06-1582092;6180;12
268-06-1582093;6180;13
268-06-1107221;4325;21
268-06-1112341;4345;21
268-06-1107222;4325;22
268-06-1112342;4345;22
268-06-1107223;4325;23
268-06-1112343;4345;23
268-06-1107241;4325;41
268-06-1112361;4345;41
268-06-1582121;6180;41
268-06-1107242;4325;42
268-06-1112362;4345;42
268-06-1582122;6180;42
268-06-1107243;4325;43
268-06-1112363;4345;43
268-06-1582123;6180;43
268-06-1788713;6987;41
268-06-1788714;6987;42
268-06-1788715;6987;43
268-06-1097769;4288;41
268-06-1097770;4288;42
268-06-1097771;4288;43
268-06-1104425;4314;41
268-06-1104426;4314;42
268-06-1104427;4314;43
268-06-1742889;6808;41
268-06-1742890;6808;42
268-06-1742891;6808;43
268-06-1095209;4278;41
268-06-1095210;4278;42
268-06-1095211;4278;43
268-06-1787689;6983;41
268-06-1787690;6983;42
268-06-1787691;6983;43
268-06-1112085;4344;21
268-06-1112086;4344;22
268-06-1112087;4344;23
268-06-1112105;4344;41
268-06-1112106;4344;42
268-06-1112107;4344;43
268-06-399115;1559;11
268-06-399116;1559;12
268-06-399117;1559;13
268-06-399125;1559;21
268-06-399126;1559;22
268-06-399127;1559;23
268-06-399145;1559;41
268-06-399146;1559;42
268-06-399147;1559;43
268-06-1101579;4303;11
268-06-1101580;4303;12
268-06-1101581;4303;13
268-06-1101589;4303;21
268-06-1101590;4303;22
268-06-1101591;4303;23
268-06-1101599;4303;31
268-06-1101600;4303;32
268-06-1101601;4303;33
268-06-1101609;4303;41
268-06-1101610;4303;42
268-06-1101611;4303;43
268-06-1712937;6691;41
268-06-1712938;6691;42
268-06-1712939;6691;43
268-06-1119253;4372;21
268-06-1119254;4372;22
268-06-1119255;4372;23
268-06-1119273;4372;41
268-06-1119274;4372;42
268-06-1119275;4372;43
268-06-1111593;4342;41
268-06-1111594;4342;42
268-06-1111595;4342;43
268-06-398603;1557;11
268-06-398604;1557;12
268-06-398605;1557;13
268-06-398613;1557;21
268-06-398614;1557;22
268-06-398615;1557;23
268-06-398633;1557;41
268-06-398634;1557;42
268-06-398635;1557;43
268-06-1101865;4304;41
268-06-1101866;4304;42
268-06-1101867;4304;43
268-06-1098025;4289;41
268-06-1098026;4289;42
268-06-1098027;4289;43
268-06-1100073;4297;41
268-06-1100074;4297;42
268-06-1100075;4297;43
268-06-2172427;8486;11
268-06-1121045;4379;21
268-06-1121046;4379;22
268-06-1121065;4379;41
268-06-1121066;4379;42
268-06-1113109;4348;21
268-06-1113110;4348;22
268-06-1113111;4348;23
268-06-1113129;4348;41
268-06-1113130;4348;42
268-06-1113131;4348;43
268-06-1105941;4320;21
268-06-1105942;4320;22
268-06-1105943;4320;23
268-06-1105961;4320;41
268-06-1105962;4320;42
268-06-1105963;4320;43
268-06-894987;3496;11
268-06-894988;3496;12
268-06-894989;3496;13
268-06-895017;3496;41
268-06-895018;3496;42
268-06-895019;3496;43
268-06-1787945;6984;41
268-06-641291;2505;11
268-06-641292;2505;12
268-06-641293;2505;13
268-06-1710633;6682;41
268-06-1710634;6682;42
268-06-1710635;6682;43
268-06-1577739;6163;11
268-06-1577740;6163;12
268-06-1577741;6163;13
268-06-1577769;6163;41
268-06-1577770;6163;42
268-06-1577771;6163;43
268-06-397067;1551;11
268-06-397068;1551;12
268-06-397069;1551;13
268-06-1119765;4374;21
268-06-1119766;4374;22
268-06-1119767;4374;23
268-06-1119785;4374;41
268-06-1688873;6597;41
268-06-397097;1551;41
268-06-1119786;4374;42
268-06-1688874;6597;42
268-06-397098;1551;42
268-06-1119787;4374;43
268-06-1688875;6597;43
268-06-397099;1551;43
268-06-1105429;4318;21
268-06-1105430;4318;22
268-06-1105431;4318;23
268-06-1105449;4318;41
268-06-1105450;4318;42
268-06-1105451;4318;43
268-06-1105685;4319;21
268-06-1105686;4319;22
268-06-1105687;4319;23
268-06-1105705;4319;41
268-06-1105706;4319;42
268-06-1105707;4319;43
268-06-888843;3472;11
268-06-888844;3472;12
268-06-888845;3472;13
268-06-888873;3472;41
268-06-888874;3472;42
268-06-888875;3472;43
268-06-1105688;4319;24
268-06-889611;3475;11
268-06-889612;3475;12
268-06-889613;3475;13
268-06-889641;3475;41
268-06-889642;3475;42
268-06-889643;3475;43
268-06-1691147;6606;11
268-06-1691148;6606;12
268-06-1691149;6606;13
268-06-1691177;6606;41
268-06-1691178;6606;42
268-06-1691179;6606;43
268-06-889099;3473;11
268-06-889100;3473;12
268-06-889101;3473;13
268-06-889109;3473;21
268-06-889110;3473;22
268-06-889111;3473;23
268-06-889129;3473;41
268-06-889130;3473;42
268-06-889131;3473;43
268-06-1787433;6982;41
268-06-1118731;4370;11
268-06-832523;3252;11
268-06-905227;3536;11
268-06-1118732;4370;12
268-06-832524;3252;12
268-06-905228;3536;12
268-06-1118733;4370;13
268-06-832525;3252;13
268-06-905229;3536;13
268-06-1118741;4370;21
268-06-1118742;4370;22
268-06-1118743;4370;23
268-06-1118761;4370;41
268-06-832553;3252;41
268-06-905257;3536;41
268-06-1118762;4370;42
268-06-832554;3252;42
268-06-905258;3536;42
268-06-1118763;4370;43
268-06-832555;3252;43
268-06-905259;3536;43
268-06-402955;1574;11
268-06-402956;1574;12
268-06-402957;1574;13
268-06-402985;1574;41
268-06-402986;1574;42
268-06-402987;1574;43
268-06-1581865;6179;41
268-06-1581866;6179;42
268-06-1581867;6179;43
268-06-1787177;6981;41
268-06-1787178;6981;42
268-06-1787179;6981;43
268-06-1697035;6629;11
268-06-1697036;6629;12
268-06-1697037;6629;13
268-06-1697065;6629;41
268-06-1697066;6629;42
268-06-1697067;6629;43
268-06-1735977;6781;41
268-06-1735978;6781;42
268-06-1735979;6781;43
268-06-335115;1309;11
268-06-335116;1309;12
268-06-335117;1309;13
268-06-335125;1309;21
268-06-335126;1309;22
268-06-335127;1309;23
268-06-1738025;6789;41
268-06-1791529;6998;41
268-06-335145;1309;41
268-06-1738026;6789;42
268-06-335146;1309;42
268-06-1738027;6789;43
268-06-335147;1309;43
268-06-1094923;4277;11
268-06-1094924;4277;12
268-06-1094925;4277;13
268-06-1094933;4277;21
268-06-1094934;4277;22
268-06-1094935;4277;23
268-06-1094953;4277;41
268-06-1094954;4277;42
268-06-1094955;4277;43
268-06-1726761;6745;41
268-06-1726762;6745;42
268-06-1726763;6745;43
268-06-403467;1576;11
268-06-403468;1576;12
268-06-403469;1576;13
268-06-403497;1576;41
268-06-403498;1576;42
268-06-403499;1576;43
268-06-1118997;4371;21
268-06-1118998;4371;22
268-06-1118999;4371;23
268-06-1119017;4371;41
268-06-1119018;4371;42
268-06-1119019;4371;43
268-06-403723;1577;11
268-06-403724;1577;12
268-06-403733;1577;21
268-06-403734;1577;22
268-06-403753;1577;41
268-06-403754;1577;42
268-06-880139;3438;11
268-06-880140;3438;12
268-06-880141;3438;13
268-06-880169;3438;41
268-06-880170;3438;42
268-06-880171;3438;43
268-06-1690891;6605;11
268-06-1690892;6605;12
268-06-1690893;6605;13
268-06-1690921;6605;41
268-06-1690922;6605;42
268-06-1690923;6605;43
268-06-1789225;6989;41
268-06-1789226;6989;42
268-06-1794315;7009;11
268-06-1794345;7009;41
268-06-1597963;6242;11
268-06-1597964;6242;12
268-06-1597965;6242;13
268-06-1597993;6242;41
268-06-1597994;6242;42
268-06-1597995;6242;43
268-06-1729321;6755;41
268-06-1729322;6755;42
268-06-1729323;6755;43
268-06-923659;3608;11
268-06-923660;3608;12
268-06-923661;3608;13
268-06-923669;3608;21
268-06-923671;3608;23
268-06-923689;3608;41
268-06-923691;3608;43
268-06-372491;1455;11
268-06-372492;1455;12
268-06-372493;1455;13
268-06-372501;1455;21
268-06-372502;1455;22
268-06-372503;1455;23
268-06-372511;1455;31
268-06-372512;1455;32
268-06-372513;1455;33
268-06-372521;1455;41
268-06-372522;1455;42
268-06-372523;1455;43
268-06-1697557;6631;21
268-06-1697558;6631;22
268-06-1697559;6631;23
268-06-1697567;6631;31
268-06-1697568;6631;32
268-06-1697569;6631;33
268-06-1697577;6631;41
268-06-1697578;6631;42
268-06-1697579;6631;43
268-06-941845;3679;21
268-06-941846;3679;22
268-06-941847;3679;23
268-06-941865;3679;41
268-06-941866;3679;42
268-06-941867;3679;43
268-06-848907;3316;11
268-06-848908;3316;12
268-06-848909;3316;13
268-06-848917;3316;21
268-06-848918;3316;22
268-06-848919;3316;23
268-06-848937;3316;41
268-06-848938;3316;42
268-06-848939;3316;43
268-06-1582859;6183;11
268-06-1582860;6183;12
268-06-1582861;6183;13
268-06-1582889;6183;41
268-06-1582890;6183;42
268-06-1582891;6183;43
268-06-1791785;6999;41
268-06-1791786;6999;42
268-06-1791787;6999;43
268-06-597771;2335;11
268-06-597772;2335;12
268-06-597773;2335;13
268-06-597801;2335;41
268-06-597802;2335;42
268-06-597803;2335;43
268-06-1738281;6790;41
268-06-1738282;6790;42
268-06-594187;2321;11
268-06-594188;2321;12
268-06-594197;2321;21
268-06-594198;2321;22
268-06-1739049;6793;41
268-06-594217;2321;41
268-06-1739050;6793;42
268-06-594218;2321;42
268-06-1739051;6793;43
268-06-915221;3575;21
268-06-915222;3575;22
268-06-915223;3575;23
268-06-915241;3575;41
268-06-915242;3575;42
268-06-915243;3575;43
268-06-919819;3593;11
268-06-919820;3593;12
268-06-919821;3593;13
268-06-919829;3593;21
268-06-919830;3593;22
268-06-919831;3593;23
268-06-919849;3593;41
268-06-919850;3593;42
268-06-919851;3593;43
268-06-1771049;6918;41
268-06-675595;2639;11
268-06-675596;2639;12
268-06-675597;2639;13
268-06-675605;2639;21
268-06-675606;2639;22
268-06-675607;2639;23
268-06-675625;2639;41
268-06-675626;2639;42
268-06-675627;2639;43
268-06-1837609;7178;41
268-06-1837610;7178;42
268-06-1837611;7178;43
268-06-910613;3557;21
268-06-910614;3557;22
268-06-910615;3557;23
268-06-910623;3557;31
268-06-910624;3557;32
268-06-910625;3557;33
268-06-910633;3557;41
268-06-910634;3557;42
268-06-910635;3557;43
268-06-372747;1456;11
268-06-372748;1456;12
268-06-372749;1456;13
268-06-372757;1456;21
268-06-927253;3622;21
268-06-372758;1456;22
268-06-927254;3622;22
268-06-372759;1456;23
268-06-927255;3622;23
268-06-927263;3622;31
268-06-927264;3622;32
268-06-927265;3622;33
268-06-372777;1456;41
268-06-927273;3622;41
268-06-372778;1456;42
268-06-927274;3622;42
268-06-372779;1456;43
268-06-927275;3622;43
268-06-593419;2318;11
268-06-593420;2318;12
268-06-593421;2318;13
268-06-593429;2318;21
268-06-593430;2318;22
268-06-593431;2318;23
268-06-593449;2318;41
268-06-593450;2318;42
268-06-593451;2318;43
268-06-942613;3682;21
268-06-942614;3682;22
268-06-942615;3682;23
268-06-942633;3682;41
268-06-942634;3682;42
268-06-942635;3682;43
268-06-1800233;7032;41
268-06-1800234;7032;42
268-06-1800235;7032;43
268-06-593931;2320;11
268-06-593932;2320;12
268-06-593933;2320;13
268-06-593941;2320;21
268-06-593942;2320;22
268-06-593943;2320;23
268-06-593961;2320;41
268-06-593962;2320;42
268-06-593963;2320;43
268-06-928021;3625;21
268-06-928022;3625;22
268-06-928023;3625;23
268-06-928041;3625;41
268-06-928042;3625;42
268-06-928043;3625;43
268-06-1454347;5681;11
268-06-1454348;5681;12
268-06-1454349;5681;13
268-06-1454377;5681;41
268-06-1454378;5681;42
268-06-1454379;5681;43
268-06-1403403;5482;11
268-06-1403404;5482;12
268-06-1403413;5482;21
268-06-1403414;5482;22
268-06-1403433;5482;41
268-06-1403434;5482;42
268-06-1432105;5594;41
268-06-1432106;5594;42
268-06-1432107;5594;43
268-06-1841193;7192;41
268-06-1841194;7192;42
268-06-1841195;7192;43
268-06-1452329;5673;41
268-06-1452330;5673;42
268-06-1452331;5673;43
268-06-1452073;5672;41
268-06-1452074;5672;42
268-06-578571;2260;11
268-06-578572;2260;12
268-06-578573;2260;13
268-06-578581;2260;21
268-06-578582;2260;22
268-06-578583;2260;23
268-06-578601;2260;41
268-06-578602;2260;42
268-06-578603;2260;43
268-06-1417001;5535;41
268-06-1417002;5535;42
268-06-1417003;5535;43
268-06-883723;3452;11
268-06-883724;3452;12
268-06-883725;3452;13
268-06-883753;3452;41
268-06-883754;3452;42
268-06-883755;3452;43
268-06-1490187;5821;11
268-06-1490188;5821;12
268-06-1490189;5821;13
268-06-1490197;5821;21
268-06-1490198;5821;22
268-06-1490199;5821;23
268-06-1490217;5821;41
268-06-1490218;5821;42
268-06-1490219;5821;43
268-06-333323;1302;11
268-06-333324;1302;12
268-06-333325;1302;13
268-06-333333;1302;21
268-06-333334;1302;22
268-06-333335;1302;23
268-06-333353;1302;41
268-06-333354;1302;42
268-06-333355;1302;43
268-06-881931;3445;11
268-06-881932;3445;12
268-06-881941;3445;21
268-06-881942;3445;22
268-06-881961;3445;41
268-06-881962;3445;42
268-06-2078475;8119;11
268-06-2078476;8119;12
268-06-2078477;8119;13
268-06-883467;3451;11
268-06-883468;3451;12
268-06-883477;3451;21
268-06-883478;3451;22
268-06-883497;3451;41
268-06-883498;3451;42
268-06-880907;3441;11
268-06-880908;3441;12
268-06-880937;3441;41
268-06-880938;3441;42
268-06-2067467;8076;11
268-06-2067468;8076;12
268-06-2067469;8076;13
268-06-2219049;8668;41
268-06-2071051;8090;11
268-06-2071052;8090;12
268-06-2071053;8090;13
268-06-1489931;5820;11
268-06-1489932;5820;12
268-06-1489933;5820;13
268-06-1489961;5820;41
268-06-1489962;5820;42
268-06-1489963;5820;43
268-06-887051;3465;11
268-06-887052;3465;12
268-06-887053;3465;13
268-06-887081;3465;41
268-06-887082;3465;42
268-06-887083;3465;43
268-06-885771;3460;11
268-06-885772;3460;12
268-06-885773;3460;13
268-06-885801;3460;41
268-06-885802;3460;42
268-06-885803;3460;43
268-06-1620747;6331;11
268-06-1620748;6331;12
268-06-1620749;6331;13
268-06-1620750;6331;14
268-06-1620777;6331;41
268-06-1620778;6331;42
268-06-1620779;6331;43
268-06-1620780;6331;44
268-06-2072331;8095;11
268-06-2072332;8095;12
268-06-2072333;8095;13
268-06-886795;3464;11
268-06-886796;3464;12
268-06-886797;3464;13
268-06-886805;3464;21
268-06-886806;3464;22
268-06-886807;3464;23
268-06-886825;3464;41
268-06-886826;3464;42
268-06-886827;3464;43
268-06-1838633;7182;41
268-06-1838634;7182;42
268-06-1838635;7182;43
268-06-1991691;7780;11
268-06-2007051;7840;11
268-06-2007052;7840;12
268-06-2007053;7840;13
268-06-1991721;7780;41
268-06-2007081;7840;41
268-06-2007082;7840;42
268-06-2007083;7840;43
268-06-881419;3443;11
268-06-881420;3443;12
268-06-881421;3443;13
268-06-881449;3443;41
268-06-881450;3443;42
268-06-881451;3443;43
268-06-2146827;8386;11
268-06-2146828;8386;12
268-06-2146829;8386;13
268-06-2007819;7843;11
268-06-2007820;7843;12
268-06-2007849;7843;41
268-06-2007850;7843;42
268-06-1551115;6059;11
268-06-1551116;6059;12
268-06-1551145;6059;41
268-06-1551146;6059;42
268-06-725003;2832;11
268-06-725004;2832;12
268-06-725005;2832;13
268-06-725013;2832;21
268-06-725014;2832;22
268-06-725015;2832;23
268-06-1717545;6709;41
268-06-1717546;6709;42
268-06-1717547;6709;43
268-06-1094421;4275;21
268-06-1094422;4275;22
268-06-1094423;4275;23
268-06-1094441;4275;41
268-06-1094442;4275;42
268-06-1094443;4275;43
268-06-1101323;4302;11
268-06-1101324;4302;12
268-06-1101325;4302;13
268-06-1101333;4302;21
268-06-1101334;4302;22
268-06-1101335;4302;23
268-06-1101353;4302;41
268-06-1101354;4302;42
268-06-1101355;4302;43
268-06-1102889;4308;41
268-06-1102890;4308;42
268-06-1102891;4308;43
268-06-1723403;6732;11
268-06-1723404;6732;12
268-06-1723405;6732;13
268-06-1723413;6732;21
268-06-1723414;6732;22
268-06-1723415;6732;23
268-06-1723433;6732;41
268-06-1723434;6732;42
268-06-1723435;6732;43
268-06-1718027;6711;11
268-06-1718057;6711;41
268-06-2186251;8540;11
268-06-2186252;8540;12
268-06-2186253;8540;13
268-06-2186261;8540;21
268-06-2186262;8540;22
268-06-2186263;8540;23
268-06-2186281;8540;41
268-06-2186282;8540;42
268-06-2186283;8540;43
268-06-1112853;4347;21
268-06-1112854;4347;22
268-06-1112873;4347;41
268-06-1112874;4347;42
268-06-719115;2809;11
268-06-719116;2809;12
268-06-1097513;4287;41
268-06-719145;2809;41
268-06-1097514;4287;42
268-06-719146;2809;42
268-06-1097515;4287;43
268-06-888331;3470;11
268-06-888332;3470;12
268-06-888361;3470;41
268-06-888362;3470;42
268-06-1717033;6707;41
268-06-1608233;6282;41
268-06-1608234;6282;42
268-06-1608235;6282;43
268-06-923403;3607;11
268-06-923404;3607;12
268-06-923405;3607;13
268-06-923433;3607;41
268-06-923434;3607;42
268-06-923435;3607;43
268-06-929045;3629;21
268-06-929046;3629;22
268-06-929047;3629;23
268-06-929065;3629;41
268-06-929066;3629;42
268-06-929067;3629;43
268-06-1776425;6939;41
268-06-1776426;6939;42
268-06-1728267;6751;11
268-06-1728268;6751;12
268-06-1728269;6751;13
268-06-1728297;6751;41
268-06-1728298;6751;42
268-06-1728299;6751;43
268-06-367627;1436;11
268-06-367628;1436;12
268-06-367629;1436;13
268-06-367637;1436;21
268-06-924949;3613;21
268-06-925461;3615;21
268-06-929301;3630;21
268-06-367638;1436;22
268-06-924950;3613;22
268-06-925462;3615;22
268-06-929302;3630;22
268-06-367639;1436;23
268-06-924951;3613;23
268-06-925463;3615;23
268-06-929303;3630;23
268-06-367657;1436;41
268-06-924969;3613;41
268-06-925481;3615;41
268-06-929321;3630;41
268-06-986409;3853;41
268-06-367658;1436;42
268-06-924970;3613;42
268-06-925482;3615;42
268-06-929322;3630;42
268-06-986410;3853;42
268-06-367659;1436;43
268-06-924971;3613;43
268-06-925483;3615;43
268-06-929323;3630;43
268-06-986411;3853;43
268-06-917801;3585;41
268-06-917802;3585;42
268-06-917803;3585;43
268-06-940311;3673;23
268-06-940331;3673;43
268-06-940309;3673;21
268-06-940310;3673;22
268-06-940329;3673;41
268-06-940330;3673;42
268-06-942347;3681;11
268-06-942348;3681;12
268-06-942349;3681;13
268-06-942377;3681;41
268-06-942378;3681;42
268-06-942379;3681;43
268-06-1642281;6415;41
268-06-1581609;6178;41
268-06-1581610;6178;42
268-06-370955;1449;11
268-06-370956;1449;12
268-06-370957;1449;13
268-06-370965;1449;21
268-06-370966;1449;22
268-06-370967;1449;23
268-06-370985;1449;41
268-06-370986;1449;42
268-06-370987;1449;43
268-06-1794571;7010;11
268-06-1794572;7010;12
268-06-1794573;7010;13
268-06-1794601;7010;41
268-06-1794602;7010;42
268-06-1794603;7010;43
268-06-1795369;7013;41
268-06-1795370;7013;42
268-06-1795371;7013;43
268-06-940073;3672;41
268-06-940074;3672;42
268-06-940075;3672;43
268-06-911115;3559;11
268-06-911116;3559;12
268-06-911117;3559;13
268-06-911145;3559;41
268-06-911146;3559;42
268-06-911147;3559;43
268-06-1710377;6681;41
268-06-1710378;6681;42
268-06-1066773;4167;21
268-06-1066774;4167;22
268-06-1066775;4167;23
268-06-1066783;4167;31
268-06-1066784;4167;32
268-06-1066785;4167;33
268-06-1066793;4167;41
268-06-1066794;4167;42
268-06-1066795;4167;43
268-06-513291;2005;11
268-06-513292;2005;12
268-06-513293;2005;13
268-06-2107413;8232;21
268-06-513301;2005;21
268-06-513302;2005;22
268-06-513303;2005;23
268-06-513321;2005;41
268-06-513322;2005;42
268-06-513323;2005;43
268-06-468235;1829;11
268-06-468236;1829;12
268-06-468237;1829;13
268-06-468265;1829;41
268-06-468266;1829;42
268-06-468267;1829;43
268-06-1165589;4553;21
268-06-1165590;4553;22
268-06-1165591;4553;23
268-06-1165599;4553;31
268-06-1165600;4553;32
268-06-1165601;4553;33
268-06-1165609;4553;41
268-06-1165610;4553;42
268-06-1165611;4553;43
268-06-1743145;6809;41
268-06-1657385;6474;41
268-06-1657386;6474;42
268-06-1657387;6474;43
268-06-1081621;4225;21
268-06-1081622;4225;22
268-06-1081623;4225;23
268-06-1081631;4225;31
268-06-1081632;4225;32
268-06-1081633;4225;33
268-06-1081641;4225;41
268-06-1081642;4225;42
268-06-1081643;4225;43
268-06-378635;1479;11
268-06-378636;1479;12
268-06-378637;1479;13
268-06-378645;1479;21
268-06-378646;1479;22
268-06-378647;1479;23
268-06-378665;1479;41
268-06-378666;1479;42
268-06-378667;1479;43
268-06-1654057;6461;41
268-06-1654058;6461;42
268-06-1654059;6461;43
268-06-1658901;6480;21
268-06-1658902;6480;22
268-06-1658903;6480;23
268-06-1658921;6480;41
268-06-1658922;6480;42
268-06-1658923;6480;43
268-06-376843;1472;11
268-06-376844;1472;12
268-06-376845;1472;13
268-06-376853;1472;21
268-06-376854;1472;22
268-06-376855;1472;23
268-06-376873;1472;41
268-06-376874;1472;42
268-06-376875;1472;43
268-06-1082409;4228;41
268-06-1082410;4228;42
268-06-664853;2597;21
268-06-664854;2597;22
268-06-664873;2597;41
268-06-664874;2597;42
268-06-665109;2598;21
268-06-665110;2598;22
268-06-665129;2598;41
268-06-665130;2598;42
268-06-705291;2755;11
268-06-705292;2755;12
268-06-705293;2755;13
268-06-705321;2755;41
268-06-705322;2755;42
268-06-705323;2755;43
268-06-2204949;8613;21
268-06-2204969;8613;41
268-06-1037333;4052;21
268-06-1037334;4052;22
268-06-1037353;4052;41
268-06-1037354;4052;42
268-06-380939;1488;11
268-06-380940;1488;12
268-06-380941;1488;13
268-06-380949;1488;21
268-06-380950;1488;22
268-06-380951;1488;23
268-06-380959;1488;31
268-06-380960;1488;32
268-06-380961;1488;33
268-06-380969;1488;41
268-06-380970;1488;42
268-06-380971;1488;43
268-06-1063179;4153;11
268-06-1063180;4153;12
268-06-1063181;4153;13
268-06-1063189;4153;21
268-06-1063190;4153;22
268-06-1063191;4153;23
268-06-1063199;4153;31
268-06-1063200;4153;32
268-06-1063201;4153;33
268-06-1063209;4153;41
268-06-1063210;4153;42
268-06-1063211;4153;43
268-06-1651497;6451;41
268-06-1651498;6451;42
268-06-1651499;6451;43
268-06-1067531;4170;11
268-06-1067532;4170;12
268-06-1067533;4170;13
268-06-1067541;4170;21
268-06-1067542;4170;22
268-06-1067543;4170;23
268-06-1067551;4170;31
268-06-1067552;4170;32
268-06-1067553;4170;33
268-06-1067561;4170;41
268-06-1067562;4170;42
268-06-1067563;4170;43
268-06-1730345;6759;41
268-06-1749801;6835;41
268-06-1749033;6832;41
268-06-1749034;6832;42
268-06-1749035;6832;43
268-06-384267;1501;11
268-06-722955;2824;11
268-06-384268;1501;12
268-06-722956;2824;12
268-06-384269;1501;13
268-06-722957;2824;13
268-06-1068565;4174;21
268-06-1077013;4207;21
268-06-384277;1501;21
268-06-722965;2824;21
268-06-830741;3245;21
268-06-1068566;4174;22
268-06-1077014;4207;22
268-06-384278;1501;22
268-06-722966;2824;22
268-06-830742;3245;22
268-06-1068567;4174;23
268-06-1077015;4207;23
268-06-384279;1501;23
268-06-722967;2824;23
268-06-830743;3245;23
268-06-1077023;4207;31
268-06-830751;3245;31
268-06-1077024;4207;32
268-06-830752;3245;32
268-06-1077025;4207;33
268-06-830753;3245;33
268-06-1068585;4174;41
268-06-1077033;4207;41
268-06-1625641;6350;41
268-06-1750569;6838;41
268-06-384297;1501;41
268-06-722985;2824;41
268-06-830761;3245;41
268-06-1068586;4174;42
268-06-1077034;4207;42
268-06-1750570;6838;42
268-06-384298;1501;42
268-06-722986;2824;42
268-06-830762;3245;42
268-06-1068587;4174;43
268-06-1077035;4207;43
268-06-1750571;6838;43
268-06-384299;1501;43
268-06-722987;2824;43
268-06-830763;3245;43
268-06-1745705;6819;41
268-06-1745706;6819;42
268-06-1745707;6819;43
268-06-1034763;4042;11
268-06-1034764;4042;12
268-06-1034765;4042;13
268-06-1034773;4042;21
268-06-1034774;4042;22
268-06-1034775;4042;23
268-06-1034783;4042;31
268-06-1034784;4042;32
268-06-1034785;4042;33
268-06-1034793;4042;41
268-06-1034794;4042;42
268-06-1034795;4042;43
268-06-1077269;4208;21
268-06-1077270;4208;22
268-06-1077271;4208;23
268-06-1077289;4208;41
268-06-1077290;4208;42
268-06-1077291;4208;43
268-06-1732885;6769;21
268-06-1732886;6769;22
268-06-1732887;6769;23
268-06-1732895;6769;31
268-06-1732896;6769;32
268-06-1732897;6769;33
268-06-1732905;6769;41
268-06-1732906;6769;42
268-06-1732907;6769;43
268-06-384011;1500;11
268-06-384012;1500;12
268-06-384013;1500;13
268-06-384021;1500;21
268-06-384022;1500;22
268-06-384023;1500;23
268-06-384031;1500;31
268-06-384032;1500;32
268-06-384033;1500;33
268-06-384041;1500;41
268-06-384042;1500;42
268-06-384043;1500;43
268-06-383755;1499;11
268-06-383756;1499;12
268-06-383757;1499;13
268-06-383765;1499;21
268-06-383766;1499;22
268-06-383767;1499;23
268-06-383775;1499;31
268-06-383776;1499;32
268-06-383777;1499;33
268-06-383785;1499;41
268-06-383786;1499;42
268-06-383787;1499;43
268-06-1080853;4222;21
268-06-1080854;4222;22
268-06-1080855;4222;23
268-06-1080863;4222;31
268-06-1080864;4222;32
268-06-1080865;4222;33
268-06-1080873;4222;41
268-06-1080874;4222;42
268-06-1080875;4222;43
268-06-516363;2017;11
268-06-529419;2068;11
268-06-516364;2017;12
268-06-529420;2068;12
268-06-516365;2017;13
268-06-529421;2068;13
268-06-516373;2017;21
268-06-529429;2068;21
268-06-516374;2017;22
268-06-516375;2017;23
268-06-529431;2068;23
268-06-1047337;4091;41
268-06-516393;2017;41
268-06-529449;2068;41
268-06-1047338;4091;42
268-06-516394;2017;42
268-06-529450;2068;42
268-06-516395;2017;43
268-06-529451;2068;43
268-06-1637673;6397;41
268-06-1650217;6446;41
268-06-1650218;6446;42
268-06-1650219;6446;43
268-06-1074955;4199;11
268-06-1074956;4199;12
268-06-1074957;4199;13
268-06-1074965;4199;21
268-06-1074966;4199;22
268-06-1074967;4199;23
268-06-1074975;4199;31
268-06-1074976;4199;32
268-06-1074977;4199;33
268-06-1074985;4199;41
268-06-1074986;4199;42
268-06-1074987;4199;43
268-06-1062421;4150;21
268-06-1062441;4150;41
268-06-378891;1480;11
268-06-378892;1480;12
268-06-378893;1480;13
268-06-378901;1480;21
268-06-378902;1480;22
268-06-378903;1480;23
268-06-378921;1480;41
268-06-378922;1480;42
268-06-378923;1480;43
268-06-469515;1834;11
268-06-469516;1834;12
268-06-469517;1834;13
268-06-469525;1834;21
268-06-469526;1834;22
268-06-469527;1834;23
268-06-469545;1834;41
268-06-469546;1834;42
268-06-469547;1834;43
268-06-1164309;4548;21
268-06-1164329;4548;41
268-06-1709609;6678;41
268-06-1709610;6678;42
268-06-1709611;6678;43
268-06-1793065;7004;41
268-06-1793066;7004;42
268-06-1793067;7004;43
268-06-1734677;6776;21
268-06-1734678;6776;22
268-06-1734679;6776;23
268-06-1734697;6776;41
268-06-1734698;6776;42
268-06-1734699;6776;43
268-06-368907;1441;11
268-06-368908;1441;12
268-06-368909;1441;13
268-06-368937;1441;41
268-06-368938;1441;42
268-06-368939;1441;43
268-06-1724457;6736;41
268-06-1724458;6736;42
268-06-1724459;6736;43
268-06-1793547;7006;11
268-06-1793548;7006;12
268-06-1793549;7006;13
268-06-1793577;7006;41
268-06-1793578;7006;42
268-06-1793579;7006;43
268-06-1788201;6985;41
268-06-1788202;6985;42
268-06-1788203;6985;43
268-06-911913;3562;41
268-06-911914;3562;42
268-06-911915;3562;43
268-06-645387;2521;11
268-06-645388;2521;12
268-06-645389;2521;13
268-06-645417;2521;41
268-06-645418;2521;42
268-06-645419;2521;43
268-06-1793803;7007;11
268-06-1793804;7007;12
